word,sense,pos,ipa,lemma,syllabification,etymology,definitions,url,sinonimos,traducoes,rimas,vizinhas,parecidas,relacionadas,pesquisa
abrolho,caltrop,NOUN,ɐˈbɾoʎu,,a.bro.lho,"De abre+olho, ou do latim apĕri ocŭlos, «abre os olhos»","planta da família das Zigofiláceas, de flores amarelas e frutos espinhosos, espontânea em Portugal; fruto espinhoso dessa planta; espinho de qualquer planta; rebento; ponta aguçada; rochedo sob a água, a pouca profundidade; contrariedade | dificuldade | obstáculo",https://www.infopedia.pt/dicionarios/lingua-portuguesa/abrolho,botão | contrariedade | contratempo,,caolho | embrolho | fiolho,abrolhado | abrolhador | abrolhal,,,estrepe | tríbulo
abrolho,sprout,VERB,ɐˈbɾɔʎu,abrolhar,a.bro.lho,"De abre+olho, ou do latim apĕri ocŭlos, «abre os olhos»",(fazer) deitar abrolhos; desenvolver (-se),https://www.infopedia.pt/dicionarios/lingua-portuguesa/abrolho,botão | contrariedade | contratempo,,caolho | embrolho | fiolho,abrolhado | abrolhador | abrolhal,,,estrepe | tríbulo
rola,turtledove,NOUN,ˈɾolɐ,,ro.la,De origem onomatopeica,"designação comum, extensiva a diferentes aves da família dos Columbídeos, de porte inferior ao dos pombos, asas pontiagudas, cauda comprida e plumagem geralmente acinzentada, branca ou acastanhada; ave migratória, presente em Portugal sobretudo nos meses quentes, atinge perto de 30 centímetros de comprimento e apresenta olhos alaranjados e plumagem acinzentada na cabeça e no peito, com listas pretas e brancas no pescoço, padrão malhado em tons castanhos e ruivos no dorso e cauda bordeada a preto e branco; embriaguez; pénis",https://www.infopedia.pt/dicionarios/lingua-portuguesa/rola,,,acerola | aiola | arola,,nola | rala | roca,Columbídeos | rola-apunhalada | rola-brava,diembe | papo de rola | rola-birmanesa
rola,rolls,VERB,ˈɾɔlɐ,rolar,ro.la,De origem onomatopeica,"fazer girar; fazer avançar, obrigando a dar voltas sobre si próprio; mover-se sobre si mesmo; cair, revoluteando ou girando; decorrer; andar sobre rodas; encapelar-se; acontecer; emitir (pombo ou rola) o som característico da sua espécie; cantar e embalar para fazer adormecer",https://www.infopedia.pt/dicionarios/lingua-portuguesa/rola,,,acerola | aiola | arola,,nola | rala | roca,Columbídeos | rola-apunhalada | rola-brava,diembe | papo de rola | rola-birmanesa
solto,loose,ADJ,ˈsoɫtu,,sol.to,"Do latim vulgar *soltu-, por solūtu-, particípio passado de solvĕre, «soltar»",que anda à solta; que foi colocado em liberdade; que tem liberdade | livre; que não está atado | desatado | desprendido; não reprimido; que não está esticado ou apertado | largo | frouxo; espalhado | desagregado; que está isento de dívida | desobrigado; descontínuo | entrecortado; que não é rimado; que vibra livre em toda a sua extensão; que navega sem companhia; licencioso,https://www.infopedia.pt/dicionarios/lingua-portuguesa/solto,desatado | descontínuo | desligado,,,,molto | salto | soito,,abrupto | aprosado | bufante
solto,release,VERB,ˈsɔɫtu,soltar,sol.to,"Do latim vulgar *soltu-, por solūtu-, particípio passado de solvĕre, «soltar»","desprender ou libertar (o que está preso); desatar (o que está atado) | desembaraçar | desenrolar; desligar (o que está unido); atirar | disparar (tiro); proferir | emitir | pronunciar (palavra, som); lançar | exalar | libertar (odor, perfume); cantar | entoar; dar largas a | libertar (criatividade, imaginação); fazer funcionar; desinibir; libertar-se; desprender-se; desfraldar-se; pôr-se a caminho; desinibir-se",https://www.infopedia.pt/dicionarios/lingua-portuguesa/solto,desatado | descontínuo | desligado,,,,molto | salto | soito,,abrupto | aprosado | bufante
encosto,backrest,NOUN,ẽˈkoʃtu,,en.cos.to,Derivação regressiva de encostar,"coisa a que alguém ou outra coisa se encosta; costas de um assento; proteção; tipo de enxerto; pressão ou empurrão mais ou menos ligeiro; faixa de terreno cercada por mato, com uma só entrada; zona em que se formam poças nas margens de um rio; espírito desencarnado, que acompanha alguém para o ajudar ou perturbar; amante",https://www.infopedia.pt/dicionarios/lingua-portuguesa/encosto,amparo | anteparo | apoio,,,,,,achego | apoia-nuca | arrimo
encosto,lean,VERB,ẽˈkɔʃtu,encostar,en.cos.to,Derivação regressiva de encostar,"colocar lado a lado; apoiar (alguém ou alguma coisa) contra um objeto, para que não caia; fechar (porta, janela) deixando-a fora do trinco; pôr de parte; apoiar-se; deitar-se; procurar a proteção de alguém; escapar ou procurar escapar a trabalho ou tarefa",https://www.infopedia.pt/dicionarios/lingua-portuguesa/encosto,amparo | anteparo | apoio,,,,,,achego | apoia-nuca | arrimo
apelo,appeal,NOUN,ɐˈpelu,,a.pe.lo,Derivação regressiva de apelar,"ato ou efeito de apelar, de pedir auxílio ou proteção; solicitação feita em nome de algo ou de alguém; chamada; recurso de uma sentença judicial apresentado a tribunal ou a instância superior; aquilo que atrai ou seduz alguém",https://www.infopedia.pt/dicionarios/lingua-portuguesa/apelo,apelação | chamada | chamamento,,arrepelo | atropelo | camuelo,,adelo | alelo | anelo,,apelação | apelamento | arrasa-quarteirão
apelo,call_out,VERB,ɐˈpɛlu,apelar,a.pe.lo,Derivação regressiva de apelar,recorrer de uma sentença a juiz ou tribunal superior; pedir auxílio ou proteção para ultrapassar perigo ou dificuldade; solicitar a intervenção ou o testemunho de; apresentar como desculpa ou atenuante,https://www.infopedia.pt/dicionarios/lingua-portuguesa/apelo,apelação | chamada | chamamento,,arrepelo | atropelo | camuelo,,adelo | alelo | anelo,,apelação | apelamento | arrasa-quarteirão
